ID,Title,Review,Salary,Grade
https://www.jobplanet.co.kr/companies/57977,인정(주),1개의리뷰,"평균3,900만원",3.0
https://www.jobplanet.co.kr/companies/91621,서머너즈(주),1개의리뷰,평균0만원,4.0
https://www.jobplanet.co.kr/companies/392465,(주)복부인,1개의리뷰,"평균2,340만원",1.0
https://www.jobplanet.co.kr/companies/53922,캐드정보기술(주),2개의리뷰,"평균2,018만원",1.0
https://www.jobplanet.co.kr/companies/49517,피앤아이(주),2개의리뷰,"평균2,925만원",3.0
https://www.jobplanet.co.kr/companies/91959,코리아컴퓨터(주),2개의리뷰,"평균2,300만원",1.5
https://www.jobplanet.co.kr/companies/63497,엠에이씨(주),1개의리뷰,"평균2,925만원",3.0
https://www.jobplanet.co.kr/companies/69418,썬커뮤니케이션(주),1개의리뷰,"평균3,633만원",3.0
https://www.jobplanet.co.kr/companies/379475,(주)에이아이에스,1개의리뷰,"평균2,539만원",2.0
https://www.jobplanet.co.kr/companies/351725,(주)무스마,1개의리뷰,"평균3,475만원",3.0
https://www.jobplanet.co.kr/companies/65352,(주)에어패스,45개의리뷰,"평균3,356만원",2.4
https://www.jobplanet.co.kr/companies/71763,(주)세정아이앤씨,62개의리뷰,"평균4,406만원",2.7
https://www.jobplanet.co.kr/companies/42796,나비스오토모티브시스템즈(주),317개의리뷰,"평균3,933만원",2.4
https://www.jobplanet.co.kr/companies/21458,앤시정보기술(주),57개의리뷰,"평균2,596만원",2.0
https://www.jobplanet.co.kr/companies/116308,아이디노(주),51개의리뷰,"평균2,951만원",2.0
https://www.jobplanet.co.kr/companies/93609,(주)칸투칸,62개의리뷰,"평균3,215만원",2.8
https://www.jobplanet.co.kr/companies/51271,(주)토탈소프트뱅크,122개의리뷰,"평균3,438만원",2.5
https://www.jobplanet.co.kr/companies/78116,(주)마상소프트,77개의리뷰,"평균2,585만원",2.4
https://www.jobplanet.co.kr/companies/3018,한국콩스버그마리타임(주),113개의리뷰,"평균6,012만원",2.8
https://www.jobplanet.co.kr/companies/56807,제로웹(주),396개의리뷰,"평균2,142만원",2.0
https://www.jobplanet.co.kr/companies/85786,게임데이(주),4개의리뷰,"평균2,428만원",2.3
https://www.jobplanet.co.kr/companies/67903,아이앤텍(주),10개의리뷰,"평균3,406만원",2.9
https://www.jobplanet.co.kr/companies/90803,엠게임이엔티(주),8개의리뷰,"평균2,540만원",2.4
https://www.jobplanet.co.kr/companies/353799,(주)띵킹프렌즈,6개의리뷰,"평균2,925만원",1.7
https://www.jobplanet.co.kr/companies/127240,에스위너스(주),7개의리뷰,"평균3,090만원",2.9
